Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Host Creation,Firefox 58.0,,2018-02-27 14:35:40,2018-02-27 14:35:51,"10,394s",PASSED
,,,,,,
Test Cases/Basic Login,Firefox 58.0,,2018-02-27 14:35:41,2018-02-27 14:35:44,"3,853s",PASSED
openBrowser,Firefox 58.0,,2018-02-27 14:35:41,2018-02-27 14:35:44,"2,746s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-27 14:35:44,2018-02-27 14:35:44,"0,153s",PASSED
setText,Firefox 58.0,,2018-02-27 14:35:44,2018-02-27 14:35:44,"0,093s",PASSED
setText,Firefox 58.0,,2018-02-27 14:35:44,2018-02-27 14:35:44,"0,064s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:44,2018-02-27 14:35:44,"0,608s",PASSED
,,,,,,
Test Cases/Create Host,Firefox 58.0,,2018-02-27 14:35:44,2018-02-27 14:35:49,"4,235s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:45,2018-02-27 14:35:45,"0,230s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:45,2018-02-27 14:35:46,"1,028s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:46,2018-02-27 14:35:47,"0,788s",PASSED
setText,Firefox 58.0,,2018-02-27 14:35:47,2018-02-27 14:35:47,"0,038s",PASSED
setText,Firefox 58.0,,2018-02-27 14:35:47,2018-02-27 14:35:47,"0,041s",PASSED
setText,Firefox 58.0,,2018-02-27 14:35:47,2018-02-27 14:35:47,"0,038s",PASSED
setText,Firefox 58.0,,2018-02-27 14:35:47,2018-02-27 14:35:47,"0,032s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-27 14:35:47,2018-02-27 14:35:47,"0,325s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:47,2018-02-27 14:35:47,"0,033s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:47,2018-02-27 14:35:47,"0,227s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:47,2018-02-27 14:35:48,"0,234s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:48,2018-02-27 14:35:48,"0,232s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:48,2018-02-27 14:35:49,"0,875s",PASSED
,,,,,,
Test Cases/Export Config,Firefox 58.0,,2018-02-27 14:35:49,2018-02-27 14:35:51,"2,058s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:49,2018-02-27 14:35:49,"0,324s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:49,2018-02-27 14:35:49,"0,221s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:49,2018-02-27 14:35:50,"0,270s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:50,2018-02-27 14:35:50,"0,230s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:50,2018-02-27 14:35:50,"0,233s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-27 14:35:50,2018-02-27 14:35:50,"0,295s",PASSED
click,Firefox 58.0,,2018-02-27 14:35:50,2018-02-27 14:35:51,"0,225s",PASSED
closeBrowser,Firefox 58.0,,2018-02-27 14:35:51,2018-02-27 14:35:51,"0,167s",PASSED
